,county,feature,feature_imp
0,Garissa,SPI12,0.25
1,Isiolo,SPI12,0.35
2,Mandera,SPI24,0.28
3,Marsabit,SPI12,0.44
4,Samburu,SPI24,0.28
5,Tana River,year,0.39
6,Turkana,year,0.24
7,Wajir,SPI24,0.3
8,Baringo,MUAC,0.25
9,Kajiado,SPI24,0.35
10,Kilifi,SPI24,0.28
11,Kitui,SPI12,0.49
12,Laikipia,SPI24,0.27
13,Makueni,SPI12,0.45
14,Meru,SPI12,0.42
15,Taita Taveta,SPI12,0.43
16,Tharaka,SPI12,0.31
17,West Pokot,year,0.38
18,Lamu,MPR,0.32
19,Nyeri,SPI24,0.51
20,Narok,SPI24,0.32
